,protocol,value,loss
0,MPQUIC,0,0.45-0.45
1,MPQUIC,0,0.45-0.45
2,MPQUIC,0,0.45-0.45
3,MPQUIC,0,0.45-0.45
4,MPQUIC,0,0.45-0.45
5,MPQUIC,0,0.45-0.45
6,MPQUIC,0,0.45-0.45
7,MPQUIC,0,0.45-0.45
8,MPQUIC,0,0.45-0.45
9,MPQUIC,0,0.45-0.45
10,MPQUIC,0,0.9-0.9
11,MPQUIC,0,0.9-0.9
12,MPQUIC,0,0.9-0.9
13,MPQUIC,0,0.9-0.9
14,MPQUIC,0,0.9-0.9
15,MPQUIC,0,0.9-0.9
16,MPQUIC,0,0.9-0.9
17,MPQUIC,0,0.9-0.9
18,MPQUIC,0,0.9-0.9
19,MPQUIC,0,0.9-0.9
20,MPQUIC,0.021,0.9-1.8
21,MPQUIC,0.039,0.9-1.8
22,MPQUIC,0.034,0.9-1.8
23,MPQUIC,0.025,0.9-1.8
24,MPQUIC,0.035,0.9-1.8
25,MPQUIC,0.04,0.9-1.8
26,MPQUIC,0.047,0.9-1.8
27,MPQUIC,0.025,0.9-1.8
28,MPQUIC,0.037,0.9-1.8
29,MPQUIC,0.041,0.9-1.8
30,MPQUIC,0.125,0.9-3.6
31,MPQUIC,0.134,0.9-3.6
32,MPQUIC,0.136,0.9-3.6
33,MPQUIC,0.13,0.9-3.6
34,MPQUIC,0.131,0.9-3.6
35,MPQUIC,0.152,0.9-3.6
36,MPQUIC,0.116,0.9-3.6
37,MPQUIC,0.134,0.9-3.6
38,MPQUIC,0.124,0.9-3.6
39,MPQUIC,0.134,0.9-3.6
40,MPQUIC,0.53,1.8-1.8
41,MPQUIC,0.523,1.8-1.8
42,MPQUIC,0.524,1.8-1.8
43,MPQUIC,0.504,1.8-1.8
44,MPQUIC,0.516,1.8-1.8
45,MPQUIC,0.526,1.8-1.8
46,MPQUIC,0.544,1.8-1.8
47,MPQUIC,0.494,1.8-1.8
48,MPQUIC,0.505,1.8-1.8
49,MPQUIC,0.504,1.8-1.8
50,MPQUIC,0.703,1.8-3.6
51,MPQUIC,0.697,1.8-3.6
52,MPQUIC,0.689,1.8-3.6
53,MPQUIC,0.695,1.8-3.6
54,MPQUIC,0.691,1.8-3.6
55,MPQUIC,0.699,1.8-3.6
56,MPQUIC,0.707,1.8-3.6
57,MPQUIC,0.693,1.8-3.6
58,MPQUIC,0.699,1.8-3.6
59,MPQUIC,0.594,3.6-1.8
60,MPQUIC,0.573,3.6-1.8
61,MPQUIC,0.592,3.6-1.8
62,MPQUIC,0.632,3.6-1.8
63,MPQUIC,0.616,3.6-1.8
64,MPQUIC,0.59,3.6-1.8
65,MPQUIC,0.595,3.6-1.8
66,MPQUIC,0.604,3.6-1.8
67,MPQUIC,0.574,3.6-1.8
68,MPQUIC,0.592,3.6-1.8
69,MPQUIC,0.747,3.6-3.6
70,MPQUIC,0.744,3.6-3.6
71,MPQUIC,0.756,3.6-3.6
72,MPQUIC,0.752,3.6-3.6
73,MPQUIC,0.746,3.6-3.6
74,MPQUIC,0.748,3.6-3.6
75,MPQUIC,0.752,3.6-3.6
76,MPQUIC,0.755,3.6-3.6
77,MPQUIC,0.753,3.6-3.6
78,MPQUIC,0.752,3.6-3.6
79,MPTCP,0.011,0.45-0.45
80,MPTCP,0,0.45-0.45
81,MPTCP,0.012,0.45-0.45
82,MPTCP,0.027,0.45-0.45
83,MPTCP,0.007,0.45-0.45
84,MPTCP,0.012,0.45-0.45
85,MPTCP,0.095,0.45-0.45
86,MPTCP,0.014,0.45-0.45
87,MPTCP,0,0.45-0.45
88,MPTCP,0.011,0.9-0.9
